solver,length_m,rho_ohm_m,frequency_hz,z_real_ohm,z_imag_ohm,z_magnitude_ohm,z_phase_deg
mHEM,10,30,7.0794578438413810e+03,4.1623803572751576e+00,1.0784993634798423e-01,4.1637773532455276e+00,1.4842381863652607e+00
mHEM,10,30,7.2861817451322740e+03,4.1608270714163860e+00,1.1301055360775526e-01,4.1623615056189189e+00,1.5558051680995912e+00
mHEM,10,30,7.4989420933245583e+03,4.1592707632101886e+00,1.1834664994026423e-01,4.1609541227039681e+00,1.6298372728430450e+00
mHEM,10,30,7.7179151558501271e+03,4.1577123707123649e+00,1.2386348218826414e-01,4.1595569860015669e+00,1.7064086494273334e+00
mHEM,10,30,7.9432823472428136e+03,4.1561528952992033e+00,1.2956645001707653e-01,4.1581719966920536e+00,1.7855953441322172e+00
mHEM,10,30,8.1752303794365016e+03,4.1545934050910711e+00,1.3546109911613671e-01,4.1568011825200362e+00,1.8674753250553657e+00
mHEM,10,30,8.4139514164519478e+03,4.1530350385485892e+00,1.4155312453899549e-01,4.1554467050461659e+00,1.9521285059810152e+00
mHEM,10,30,8.6596432336006528e+03,4.1514790082490087e+00,1.4784837397568393e-01,4.1541108672758638e+00,2.0396367666762409e+00
mHEM,10,30,8.9125093813374588e+03,4.1499266048475612e+00,1.5435285111278949e-01,4.1527961216833473e+00,2.1300839715030877e+00
mHEM,10,30,9.1727593538977944e+03,4.1483792012386553e+00,1.6107271895060479e-01,4.1515050786503442e+00,2.2235559842701202e+00
mHEM,10,30,9.4406087628592359e+03,4.1468382569274258e+00,1.6801430323043967e-01,4.1502405153444908e+00,2.3201406811365719e+00
mHEM,10,30,9.7162795157710570e+03,4.1453053226176726e+00,1.7518409580489241e-01,4.1490053850465634e+00,2.4199279589461797e+00
mHEM,10,30,1.0000000000000000e+04,4.1437820450204539e+00,1.8258875806417224e-01,4.1478028269440816e+00,2.5230097402084644e+00
mHEM,10,30,1.0292005271944287e+04,4.1422701718994812e+00,1.9023512423231037e-01,4.1466361764085162e+00,2.6294799717848623e+00
mHEM,10,30,1.0592537251772897e+04,4.1407715573703632e+00,1.9813020484702340e-01,4.1455089757953854e+00,2.7394346212052474e+00
mHEM,10,30,1.0901844923851268e+04,4.1392881674545077e+00,2.0628119011732354e-01,4.1444249857640223e+00,2.8529716659712698e+00
mHEM,10,30,1.1220184543019630e+04,4.1378220858923402e+00,2.1469545320258940e-01,4.1433881971309789e+00,2.9701910759934691e+00
mHEM,10,30,1.1547819846894581e+04,4.1363755202578574e+00,2.2338055362660947e-01,4.1424028433177513e+00,3.0911947915972147e+00
mHEM,10,30,1.1885022274370189e+04,4.1349508083413546e+00,2.3234424046386426e-01,4.1414734133493543e+00,3.2160866915934876e+00
mHEM,10,30,1.2232071190499326e+04,4.1335504248566330e+00,2.4159445562467677e-01,4.1406046654831750e+00,3.3449725553323004e+00
